module,value,count
Init.Data.Ord.Basic,1,18
Init.Data.Ord.Basic,2,12
Init.Data.Ord.Basic,4,1
Init.Data.Ord.Basic,1024,6
Init.Data.Fin.Lemmas,0,249
Init.Data.Fin.Lemmas,1,655
Init.Data.Fin.Lemmas,2,48
Init.Data.Fin.Lemmas,3,1
Init.Data.Fin.Fold,0,23
Init.Data.Fin.Fold,1,23
Init.Data.List.Control,2,2
Init.Grind.Annotated,1022,1
Init.Data.List.Lemmas,0,94
Init.Data.List.Lemmas,1,76
Init.Data.List.Lemmas,2,13
Init.Data.List.Lemmas,3,12
Init.Data.List.Lemmas,4,13
Init.Data.List.Lemmas,13,1
Init.Data.List.Lemmas,59,1
Init.Data.List.OfFn,0,11
Init.Data.List.OfFn,1,7
Init.Data.List.TakeDrop,0,6
Init.Data.List.TakeDrop,1,20
Init.Data.List.Sublist,0,3
Init.Data.List.Count,0,25
Init.Data.List.Count,1,17
Init.Data.Array.Bootstrap,0,7
Init.Data.Array.Bootstrap,1,2
Init.Data.List.Monadic,2,2
Init.Data.List.FinRange,0,5
Init.Data.List.FinRange,1,16
Init.Data.Nat.Fold,0,48
Init.Data.Nat.Fold,1,42
Init.Data.Int.Bitwise.Basic,1,2
Init.Data.BitVec.Basic,0,40
Init.Data.BitVec.Basic,1,72
Init.Data.BitVec.Basic,2,38
Init.Data.BitVec.Basic,3,1
Init.Data.BitVec.Basic,4,1
Init.Data.BitVec.Basic,16,1
Init.Data.BitVec.Basic,48,1
Init.Data.BitVec.Basic,64,5
Init.Data.BitVec.Basic,1024,5
Init.Data.Int.DivMod.Lemmas,0,488
Init.Data.Int.DivMod.Lemmas,1,105
Init.Data.Int.DivMod.Lemmas,2,36
Init.Data.Int.DivMod.Lemmas,3,1
Init.Data.Int.Bitwise.Lemmas,0,16
Init.Data.Int.Bitwise.Lemmas,1,4
Init.Data.Int.Bitwise.Lemmas,2,6
Init.Data.BitVec.Bootstrap,0,2
Init.Data.BitVec.Bootstrap,1,19
Init.Data.BitVec.Bootstrap,2,12
Init.Data.BitVec.Decidable,0,88
Init.Data.BitVec.Decidable,1,31
Init.Data.Int.LemmasAux,0,33
Init.Data.Int.LemmasAux,1,1
Init.Data.Int.LemmasAux,2,2
Init.Data.BitVec.Lemmas,0,425
Init.Data.BitVec.Lemmas,1,644
Init.Data.BitVec.Lemmas,2,542
Init.Data.Fin.Iterate,0,8
Init.Data.Fin.Iterate,1,12
Init.Data.BitVec.Folds,0,7
Init.Data.BitVec.Folds,1,6
Init.Data.BitVec.Bitblast,0,246
Init.Data.BitVec.Bitblast,1,167
Init.Data.BitVec.Bitblast,2,75
Init.Data.UInt.Basic,0,12
Init.Data.UInt.Basic,1,10
Init.Data.UInt.Basic,2,7
Init.Data.UInt.Basic,8,53
Init.Data.UInt.Basic,16,63
Init.Data.UInt.Basic,32,49
Init.Data.UInt.Basic,64,63
Init.Data.UInt.Basic,65,4
Init.Data.UInt.Basic,90,4
Init.Data.UInt.Basic,4294967296,2
Init.Data.Fin.Bitwise,2,20
Init.System.Platform,0,2
Init.System.Platform,8,2
Init.System.Platform,16,2
Init.System.Platform,32,2
Init.System.Platform,64,2
Init.Data.UInt.Lemmas,0,268
Init.Data.UInt.Lemmas,1,203
Init.Data.UInt.Lemmas,2,157
Init.Data.UInt.Lemmas,8,229
Init.Data.UInt.Lemmas,16,227
Init.Data.UInt.Lemmas,32,224
Init.Data.UInt.Lemmas,64,223
Init.Data.UInt.Lemmas,255,4
Init.Data.UInt.Lemmas,256,88
Init.Data.UInt.Lemmas,1022,1
Init.Data.UInt.Lemmas,1023,1
Init.Data.UInt.Lemmas,65535,4
Init.Data.UInt.Lemmas,65536,63
Init.Data.UInt.Lemmas,4294967295,4
Init.Data.UInt.Lemmas,4294967296,43
Init.Data.UInt.Lemmas,18446744073709551615,4
Init.Data.Char.Lemmas,0,1
Init.Data.Char.Lemmas,32,1
Init.Data.Char.Lemmas,55296,2
Init.Data.Char.Lemmas,57343,3
Init.Data.Char.Lemmas,1114112,3
Init.Data.Fin.OverflowAware,0,1
Init.Data.Int.Gcd,0,83
Init.Data.Int.Gcd,1,31
Init.Data.Int.Cooper,0,17
Init.Data.AC,0,12
Init.Data.AC,1,16
Init.Data.AC,2,3
Init.Data.AC,1024,6
Init.Data.Int.Linear,0,339
Init.Data.Int.Linear,1,115
Init.Data.Int.Linear,2,17
Init.Data.Int.Linear,3,12
Init.Data.Int.Linear,4,13
Init.Data.Int.Linear,5,12
Init.Data.Int.Linear,6,11
Init.Data.Int.Linear,8,1
Init.Data.Int.Linear,16,1
Init.Data.Int.Linear,32,1
Init.Data.Int.Linear,64,1
Init.Data.Int.Linear,100000000,1
Init.Grind.ToInt,0,36
Init.Grind.ToInt,1,24
Init.Grind.ToInt,2,16
Init.Grind.ToInt,3,11
Init.Grind.Module.Basic,0,145
Init.Grind.Module.Basic,1,31
Init.Grind.Ring.Basic,0,183
Init.Grind.Ring.Basic,1,107
Init.Grind.Ring.Basic,2,1
Init.Grind.Ring.Field,0,163
Init.Grind.Ring.Field,1,72
Init.Data.UInt.Bitwise,0,130
Init.Data.UInt.Bitwise,1,130
Init.Data.UInt.Bitwise,2,29
Init.Data.UInt.Bitwise,8,138
Init.Data.UInt.Bitwise,16,133
Init.Data.UInt.Bitwise,32,128
Init.Data.UInt.Bitwise,64,118
Init.Data.UInt.Bitwise,256,12
Init.Data.UInt.Bitwise,1022,1
Init.Data.UInt.Bitwise,1023,1
Init.Data.UInt.Bitwise,65536,9
Init.Data.UInt.Bitwise,4294967296,6
Init.Data.List.Pairwise,0,1
Init.Data.List.Pairwise,1,4
Init.Data.List.Zip,1,2
Init.Data.List.Zip,2,2
Init.Data.List.Range,0,21
Init.Data.List.Range,1,36
Init.Data.List.Impl,0,5
